date,open,high,low,close,volume,symbol
2019-12-31,99.83,100.93,99.58,100.55,3510938,AAPL
2020-01-01,100.50,101.15,100.38,101.12,2619504,AAPL
2020-01-02,101.30,101.37,100.88,101.30,2999569,AAPL
2020-01-05,101.40,101.82,101.18,101.38,1950435,AAPL
2020-01-06,101.55,102.40,101.04,101.93,3155025,AAPL
2020-01-07,101.83,102.51,101.57,102.38,3302734,AAPL
2020-01-08,102.51,103.79,102.18,103.32,3261264,AAPL
2020-01-09,103.35,104.40,103.15,104.09,881925,AAPL
2020-01-12,103.95,105.04,103.42,104.48,4913515,AAPL
2020-01-13,104.61,105.09,104.39,104.53,3884001,AAPL
2020-01-14,104.54,105.88,104.50,105.28,2248521,AAPL
2020-01-15,105.20,106.01,104.64,105.49,3667940,AAPL
2020-01-16,105.51,106.07,104.89,105.76,2646810,AAPL
2020-01-19,105.68,105.94,105.18,105.67,1279484,AAPL
2020-01-20,105.55,106.22,105.36,105.93,3743228,AAPL
2020-01-21,105.75,106.39,105.37,106.23,3221762,AAPL
2020-01-22,106.36,107.16,106.02,107.07,2158637,AAPL
2020-01-23,107.22,107.24,106.69,107.05,2497693,AAPL
2020-01-26,107.21,108.25,106.93,107.69,2899385,AAPL
2020-01-27,107.72,108.15,107.52,107.74,1082470,AAPL
2020-01-28,107.74,108.04,107.27,107.58,1768097,AAPL
2020-01-29,107.53,108.15,107.23,107.35,4902807,AAPL
2020-01-30,107.18,107.24,106.48,107.02,3045870,AAPL
2020-02-02,106.95,108.02,106.78,107.80,4634572,AAPL
2020-02-03,107.72,107.91,107.31,107.39,2048223,AAPL
2020-02-04,107.37,108.48,106.86,108.01,2462873,AAPL
2020-02-05,107.89,108.45,106.98,107.59,1081482,AAPL
2020-02-06,107.43,108.41,107.39,108.34,1410162,AAPL
2020-02-09,108.14,108.49,108.05,108.18,3738851,AAPL
2020-02-10,108.08,109.09,107.97,108.82,3709434,AAPL
2020-02-11,108.61,108.88,108.35,108.62,4532595,AAPL
2020-02-12,108.80,109.33,108.50,108.88,2512655,AAPL
2020-02-13,108.75,108.84,108.27,108.65,3466621,AAPL
2020-02-16,108.80,109.02,107.99,108.59,3260137,AAPL
2020-02-17,108.67,109.28,107.96,108.44,4968716,AAPL
2020-02-18,108.35,109.25,107.89,109.21,826169,AAPL
2020-02-19,109.20,110.36,108.68,110.00,2529920,AAPL
2020-02-20,110.01,110.82,109.69,110.58,2880904,AAPL
2020-02-23,110.50,111.11,109.93,110.93,4596258,AAPL
2020-02-24,110.89,111.66,110.68,111.06,1299613,AAPL
2020-02-25,111.12,111.34,110.47,110.86,4631581,AAPL
2020-02-26,110.69,110.85,110.33,110.79,3689203,AAPL
2020-02-27,110.85,111.50,110.52,111.45,4975867,AAPL
2020-03-01,111.47,111.70,110.87,111.49,2719543,AAPL
2020-03-02,111.60,112.53,111.01,112.17,2067141,AAPL
2020-03-03,112.37,112.52,111.87,112.18,4725006,AAPL
2020-03-04,112.23,112.66,111.70,112.14,2933575,AAPL
2020-03-05,112.04,112.58,111.57,112.23,510854,AAPL
2020-03-08,112.42,112.95,111.72,112.33,501486,AAPL
2020-03-09,112.14,112.39,111.66,112.36,3740980,AAPL
2020-03-10,112.54,113.86,112.46,113.53,3861131,AAPL
2020-03-11,113.74,114.19,113.71,113.88,4729363,AAPL
2020-03-12,113.68,114.60,113.45,114.07,3091686,AAPL
2020-03-15,114.10,114.35,113.76,113.84,1688478,AAPL
2020-03-16,113.90,114.06,113.86,114.02,725792,AAPL
2020-03-17,113.96,114.50,113.14,113.74,1035351,AAPL
2020-03-18,113.83,114.60,113.72,114.38,1838827,AAPL
2020-03-19,114.17,114.42,113.27,113.84,4500894,AAPL
2020-03-22,113.90,114.44,113.84,114.31,3234906,AAPL
2020-03-23,114.48,114.49,113.73,114.35,4062124,AAPL
2020-03-24,114.17,115.28,113.92,115.13,2676670,AAPL
2020-03-25,115.04,116.65,114.97,116.01,3400947,AAPL
2020-03-26,115.94,116.07,115.50,115.60,4725594,AAPL
2020-03-29,115.80,116.47,115.02,115.65,2718654,AAPL
2020-03-30,115.81,116.24,115.62,115.87,3929928,AAPL
2020-03-31,115.94,117.04,115.80,116.67,1583449,AAPL
2020-04-01,116.52,117.05,115.84,116.19,4974833,AAPL
